@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
1,'2017/02/12 15:43:21:761',1,417.973755,397.099548,36.327007,330.505493,416.134521,63.378319,284.551483,417.790436,67.687332,244.081299,421.496796,66.215393,163.555496,427.512329,61.124634,391.23468,226.926819,61.522346,490.595825,223.671539,80.726089,555.527893,219.03595,82.475754,602.211609,219.718201,80.052544,677.637085,228.067841,72.136932,0,0,0,0
2,'2017/02/12 15:43:21:813',1,419.091187,397.481354,36.536308,331.21106,416.169678,63.595901,285.291992,417.818848,67.893188,244.595184,421.447784,66.426575,164.563721,427.865845,61.31226,391.666656,227.336914,61.628403,490.634766,223.67865,80.722382,555.504272,219.068817,82.471375,602.11145,219.784821,80.047668,677.704529,228.035889,72.128075,0,0,0,0
3,'2017/02/12 15:43:21:861',1,419.144073,397.458374,36.542198,331.368347,416.264648,63.639595,285.625214,417.962524,67.937653,244.718674,421.448975,66.483391,164.70108,427.846558,61.375679,391.794281,227.913483,61.724236,490.711578,223.716797,80.734848,555.528992,219.100647,82.480659,601.96167,219.920471,80.054535,677.697754,228.069763,72.13089,0,0,0,0
4,'2017/02/12 15:43:21:912',1,419.172394,397.417206,36.516727,331.502167,416.349701,63.666889,285.9823,418.092682,67.965729,244.875275,421.480499,66.524109,164.814285,427.866577,61.42625,391.752441,229.471466,61.910835,490.716827,223.737457,80.756607,555.57373,219.081085,82.494934,601.942627,219.884216,80.062958,677.638977,228.029846,72.132698,0,0,0,0
5,'2017/02/12 15:43:21:961',1,419.232727,397.315735,36.489197,331.596619,416.414886,63.677711,286.17453,418.196655,67.976418,245.010284,421.548706,66.538849,164.995224,427.980713,61.444016,391.58429,230.914185,62.057579,490.516724,223.654968,80.762054,555.538513,219.064148,82.498116,601.834351,219.901764,80.06279,677.553101,227.997345,72.130478,0,0,0,0
6,'2017/02/12 15:43:22:010',1,419.509491,397.284607,36.489906,331.780121,416.589569,63.713379,286.526306,418.505737,68.003647,245.179214,421.721283,66.572403,165.211243,428.172272,61.473461,391.282654,232.610138,62.199802,490.225128,223.373688,80.765503,555.526855,219.076691,82.498703,601.808105,219.847137,80.055008,677.417969,227.834442,72.114807,0,0,0,0
7,'2017/02/12 15:43:22:059',1,419.65329,397.335815,36.485565,331.712128,416.973175,63.754074,286.673035,418.971222,68.034454,244.997879,421.986511,66.612137,164.501068,428.047729,61.511295,390.99588,231.428986,62.19072,489.877991,222.792816,80.756088,555.057007,218.954041,82.530769,601.308899,219.843842,80.097878,677.036133,227.781219,72.162018,0,0,0,0
8,'2017/02/12 15:43:22:112',1,419.597168,397.666229,36.521587,331.418213,417.393188,63.784714,286.56488,419.481873,68.053726,244.681915,422.348053,66.634781,164.023422,428.282654,61.526573,390.751526,230.893219,62.208023,489.617157,222.507141,80.773636,554.727173,218.81015,82.562805,600.940796,219.795197,80.135834,676.645264,227.839203,72.21608,0,0,0,0
9,'2017/02/12 15:43:22:159',1,419.019592,398.442108,36.604259,330.688019,418.284821,63.838337,286.198914,420.609619,68.090538,243.934555,423.298462,66.682022,163.29451,429.086639,61.56736,390.519257,231.526367,62.30555,489.469177,222.526855,80.802277,554.431885,218.788971,82.59391,600.6427,219.766449,80.161331,676.194092,227.928009,72.246185,0,0,0,0
10,'2017/02/12 15:43:22:211',1,418.887756,398.777191,36.646446,330.359833,418.736908,63.869133,286.002563,421.084076,68.114182,243.569092,423.740479,66.707153,163.009644,429.427246,61.584591,390.333038,231.909546,62.347511,489.335388,222.563141,80.835358,554.227661,218.781769,82.633736,600.438049,219.698212,80.203522,676.011719,227.874481,72.294586,0,0,0,0
11,'2017/02/12 15:43:22:261',1,419.254089,399.259277,36.754635,329.850037,419.198578,63.919495,285.665405,421.676392,68.131775,242.953384,424.212769,66.713715,162.56044,429.852997,61.550163,390.287933,232.005463,62.372787,489.00528,222.547882,80.905548,553.829102,218.747955,82.730354,600.055237,219.630005,80.319794,675.867432,227.843597,72.440491,0,0,0,0
12,'2017/02/12 15:43:22:310',1,419.711945,399.859924,36.868187,329.231964,419.747955,63.991703,285.38504,422.376373,68.162788,242.293503,424.757996,66.732742,162.132568,430.469666,61.522491,389.99939,232.21875,62.398388,488.599396,222.629059,81.000793,553.358704,218.780273,82.851807,599.607788,219.582184,80.461418,675.650391,227.873718,72.613251,0,0,0,0
13,'2017/02/12 15:43:22:366',1,419.932495,400.08786,36.91481,329.043518,419.918152,64.019852,285.374786,422.576996,68.17498,242.1008,424.92691,66.740265,162.216187,430.761658,61.510876,389.517761,232.138763,62.379932,488.345154,222.719971,81.046623,553.055847,218.85498,82.907303,599.305054,219.656982,80.523865,675.415039,227.966309,72.689621,0,0,0,0
14,'2017/02/12 15:43:22:412',1,420.046661,400.093597,36.924355,328.893524,420.002716,64.046585,285.355011,422.667023,68.190651,241.918793,424.993988,66.75338,162.246277,430.86438,61.512115,389.052002,231.915375,62.358421,487.983582,222.839447,81.100586,552.617676,218.960022,82.97731,598.836975,219.805389,80.604385,675.044678,228.051727,72.79393,0,0,0,0
15,'2017/02/12 15:43:22:461',1,420.193848,399.887848,36.925652,328.766388,420.024933,64.06781,285.400513,422.722046,68.197441,241.744156,425.020203,66.75808,162.343414,430.898651,61.503357,388.745331,231.57782,62.332108,487.726929,222.897797,81.144836,552.273193,218.961914,83.036102,598.490906,219.882629,80.669861,674.824097,227.980804,72.880135,0,0,0,0
16,'2017/02/12 15:43:22:512',1,420.229431,399.821167,36.966034,328.628418,419.934601,64.105164,285.419098,422.651245,68.224144,241.640228,424.954315,66.782028,162.348099,430.784424,61.522408,388.491425,231.089172,62.293633,487.514832,222.931335,81.178123,552.030762,218.956787,83.079536,598.235718,219.941986,80.717026,674.635254,227.975952,72.939819,0,0,0,0
17,'2017/02/12 15:43:22:560',1,420.19693,399.103577,36.926208,328.607574,419.722229,64.160164,285.500397,422.487122,68.271294,241.679932,424.826599,66.825638,162.549896,430.73996,61.560734,388.220703,231.086304,62.339973,487.289307,222.996521,81.24543,551.822144,218.955292,83.146347,597.985901,219.9599,80.782692,674.376343,227.96106,73.008514,0,0,0,0
18,'2017/02/12 15:43:22:611',1,420.0625,398.214844,36.908848,328.398132,419.12677,64.173698,285.328766,421.902252,68.276199,241.549759,424.264557,66.821091,162.435501,430.014679,61.554268,387.774933,230.868958,62.41217,487.05246,223.005554,81.340675,551.638977,218.994141,83.240883,597.678589,220.08136,80.876892,674.012878,228.172241,73.102554,0,0,0,0
19,'2017/02/12 15:43:22:660',1,419.741913,397.9422,36.871326,328.317505,418.829529,64.123924,285.323181,421.613647,68.225372,241.593231,424.041382,66.766693,162.408142,429.638062,61.51115,387.494629,230.646393,62.452423,486.930725,222.953369,81.395142,551.560852,218.972107,83.293854,597.516235,220.150543,80.9291,673.822998,228.329865,73.154839,0,0,0,0
20,'2017/02/12 15:43:22:710',1,419.609131,397.897949,36.833599,328.41748,418.867523,64.146248,285.463501,421.671417,68.250603,241.733505,424.151855,66.793861,162.395126,429.671021,61.550739,387.288452,230.463043,62.473179,486.858887,222.917419,81.432579,551.492371,218.939453,83.330673,597.407471,220.163757,80.966057,673.695068,228.400665,73.193321,0,0,0,0
21,'2017/02/12 15:43:22:761',1,419.531616,397.901276,36.758045,328.212158,419.037476,64.18708,285.325928,421.86084,68.287621,241.522919,424.341858,66.830406,162.112518,429.768158,61.588486,387.184814,230.437195,62.493324,486.834167,222.892487,81.457802,551.47406,218.837433,83.356262,597.353516,220.114685,80.990997,673.651855,228.337769,73.219315,0,0,0,0
22,'2017/02/12 15:43:22:813',1,419.410522,397.918793,36.697765,327.51593,419.341736,64.23526,284.717987,422.206177,68.31646,240.801804,424.699707,66.848328,161.37796,430.067322,61.586617,387.107697,230.453491,62.497536,486.849091,222.928497,81.467339,551.517883,218.715332,83.367111,597.328979,220.121216,80.997322,673.616943,228.233429,73.223511,0,0,0,0
23,'2017/02/12 15:43:22:861',1,419.957245,398.598053,36.555088,327.887543,422.067017,64.244225,284.901855,424.239716,68.334671,240.494064,426.19751,66.87191,161.046478,431.475372,61.571457,387.118134,230.518677,62.488407,486.903381,222.932343,81.464676,551.549988,218.513306,83.370392,597.307373,220.035828,80.992828,673.621094,227.90094,73.2136,0,0,0,0
